	datasetoi	datasetor	goldstandardoi	goldstandardor	method	moduledef	ofinterest	ofreference	organismoi	runningtime	score	organismnetoi	organismnetor	weight
131	ecoli_dream5	yeast_dream5	ecoli_regulondb#mcl1	yeast_macisaac#mcl1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl1	yeast_dream5#yeast_macisaac#mcl1	ecoli	0.001984834671020508	1.0968525983369857	ecoli	yeast	0.0026455026455026454
132	ecoli_dream5	yeast_dream5	ecoli_regulondb#mcl1	yeast_sisima#mcl1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl1	yeast_dream5#yeast_sisima#mcl1	ecoli	0.0022745132446289067	0.944430703696414	ecoli	yeast	0.0026455026455026454
133	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#mcl1	yeast_macisaac#mcl1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl1	yeast_gpl2529#yeast_macisaac#mcl1	ecoli	0.001984834671020508	1.0968525983369857	ecoli	yeast	0.0026455026455026454
134	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#mcl1	yeast_sisima#mcl1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl1	yeast_gpl2529#yeast_sisima#mcl1	ecoli	0.0022745132446289067	0.944430703696414	ecoli	yeast	0.0026455026455026454
137	ecoli_dream5	human_gtex	ecoli_regulondb#mcl2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl2	human_gtex#regcircuit	ecoli	0.002490043640136719	0.7553234902654784	ecoli	regcircuit	0.0026455026455026454
138	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#mcl2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl2	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.7553234902654784	ecoli	regcircuit	0.0026455026455026454
139	ecoli_dream5	human_tcga	ecoli_regulondb#mcl2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl2	human_tcga#regcircuit	ecoli	0.002490043640136719	0.7553234902654784	ecoli	regcircuit	0.0026455026455026454
140	ecoli_dream5	yeast_dream5	ecoli_regulondb#mcl2	yeast_macisaac#mcl2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl2	yeast_dream5#yeast_macisaac#mcl2	ecoli	0.0017955303192138672	1.1007813986926709	ecoli	yeast	0.0026455026455026454
141	ecoli_dream5	yeast_dream5	ecoli_regulondb#mcl2	yeast_sisima#mcl2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl2	yeast_dream5#yeast_sisima#mcl2	ecoli	0.0022745132446289067	0.9747231513555876	ecoli	yeast	0.0026455026455026454
142	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#mcl2	yeast_macisaac#mcl2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl2	yeast_gpl2529#yeast_macisaac#mcl2	ecoli	0.0017955303192138672	1.1007813986926709	ecoli	yeast	0.0026455026455026454
143	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#mcl2	yeast_sisima#mcl2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl2	yeast_gpl2529#yeast_sisima#mcl2	ecoli	0.0022745132446289067	0.9747231513555876	ecoli	yeast	0.0026455026455026454
146	ecoli_dream5	human_gtex	ecoli_regulondb#mcl3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl3	human_gtex#regcircuit	ecoli	0.002490043640136719	0.9213350074194246	ecoli	regcircuit	0.0026455026455026454
147	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#mcl3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl3	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.9213350074194246	ecoli	regcircuit	0.0026455026455026454
148	ecoli_dream5	human_tcga	ecoli_regulondb#mcl3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl3	human_tcga#regcircuit	ecoli	0.002490043640136719	0.9213350074194246	ecoli	regcircuit	0.0026455026455026454
149	ecoli_dream5	yeast_dream5	ecoli_regulondb#mcl3	yeast_macisaac#mcl3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl3	yeast_dream5#yeast_macisaac#mcl3	ecoli	0.001984834671020508	1.0869714388798168	ecoli	yeast	0.0026455026455026454
150	ecoli_dream5	yeast_dream5	ecoli_regulondb#mcl3	yeast_sisima#mcl3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl3	yeast_dream5#yeast_sisima#mcl3	ecoli	0.0022745132446289067	0.9362378508462637	ecoli	yeast	0.0026455026455026454
151	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#mcl3	yeast_macisaac#mcl3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl3	yeast_gpl2529#yeast_macisaac#mcl3	ecoli	0.001984834671020508	1.0869714388798168	ecoli	yeast	0.0026455026455026454
152	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#mcl3	yeast_sisima#mcl3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl3	yeast_gpl2529#yeast_sisima#mcl3	ecoli	0.0022745132446289067	0.9362378508462637	ecoli	yeast	0.0026455026455026454
155	ecoli_dream5	human_gtex	ecoli_regulondb#minimal	regcircuit	dummy	minimal	ecoli_dream5#ecoli_regulondb#minimal	human_gtex#regcircuit	ecoli	0.002490043640136719	0.6127891261614393	ecoli	regcircuit	0.023809523809523808
156	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#minimal	regcircuit	dummy	minimal	ecoli_dream5#ecoli_regulondb#minimal	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.6127891261614393	ecoli	regcircuit	0.023809523809523808
157	ecoli_dream5	human_tcga	ecoli_regulondb#minimal	regcircuit	dummy	minimal	ecoli_dream5#ecoli_regulondb#minimal	human_tcga#regcircuit	ecoli	0.002490043640136719	0.6127891261614393	ecoli	regcircuit	0.023809523809523808
158	ecoli_dream5	yeast_dream5	ecoli_regulondb#minimal	yeast_macisaac#minimal	dummy	minimal	ecoli_dream5#ecoli_regulondb#minimal	yeast_dream5#yeast_macisaac#minimal	ecoli	0.0017955303192138672	0.7460182429448454	ecoli	yeast	0.023809523809523808
159	ecoli_dream5	yeast_dream5	ecoli_regulondb#minimal	yeast_sisima#minimal	dummy	minimal	ecoli_dream5#ecoli_regulondb#minimal	yeast_dream5#yeast_sisima#minimal	ecoli	0.0022745132446289067	0.6809983614522925	ecoli	yeast	0.023809523809523808
160	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#minimal	yeast_macisaac#minimal	dummy	minimal	ecoli_dream5#ecoli_regulondb#minimal	yeast_gpl2529#yeast_macisaac#minimal	ecoli	0.0022745132446289067	0.6809983614522925	ecoli	yeast	0.023809523809523808
161	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#minimal	yeast_sisima#minimal	dummy	minimal	ecoli_dream5#ecoli_regulondb#minimal	yeast_gpl2529#yeast_sisima#minimal	ecoli	0.0022745132446289067	0.6809983614522925	ecoli	yeast	0.023809523809523808
164	ecoli_dream5	human_gtex	ecoli_regulondb#strict	regcircuit	dummy	strict	ecoli_dream5#ecoli_regulondb#strict	human_gtex#regcircuit	ecoli	0.002490043640136719	0.515751207748515	ecoli	regcircuit	0.023809523809523808
165	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#strict	regcircuit	dummy	strict	ecoli_dream5#ecoli_regulondb#strict	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.515751207748515	ecoli	regcircuit	0.023809523809523808
166	ecoli_dream5	human_tcga	ecoli_regulondb#strict	regcircuit	dummy	strict	ecoli_dream5#ecoli_regulondb#strict	human_tcga#regcircuit	ecoli	0.002490043640136719	0.515751207748515	ecoli	regcircuit	0.023809523809523808
167	ecoli_dream5	yeast_dream5	ecoli_regulondb#strict	yeast_macisaac#strict	dummy	strict	ecoli_dream5#ecoli_regulondb#strict	yeast_dream5#yeast_macisaac#strict	ecoli	0.0017955303192138672	1.0205052149273837	ecoli	yeast	0.023809523809523808
168	ecoli_dream5	yeast_dream5	ecoli_regulondb#strict	yeast_sisima#strict	dummy	strict	ecoli_dream5#ecoli_regulondb#strict	yeast_dream5#yeast_sisima#strict	ecoli	0.0022745132446289067	0.9118619784884828	ecoli	yeast	0.023809523809523808
169	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#strict	yeast_macisaac#strict	dummy	strict	ecoli_dream5#ecoli_regulondb#strict	yeast_gpl2529#yeast_macisaac#strict	ecoli	0.0017955303192138672	1.0205052149273837	ecoli	yeast	0.023809523809523808
170	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#strict	yeast_sisima#strict	dummy	strict	ecoli_dream5#ecoli_regulondb#strict	yeast_gpl2529#yeast_sisima#strict	ecoli	0.0022745132446289067	0.9118619784884828	ecoli	yeast	0.023809523809523808
173	ecoli_dream5	human_gtex	ecoli_regulondb#tc1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc1	human_gtex#regcircuit	ecoli	0.002490043640136719	0.809990267852305	ecoli	regcircuit	0.0026455026455026454
174	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#tc1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc1	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.809990267852305	ecoli	regcircuit	0.0026455026455026454
175	ecoli_dream5	human_tcga	ecoli_regulondb#tc1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc1	human_tcga#regcircuit	ecoli	0.002490043640136719	0.809990267852305	ecoli	regcircuit	0.0026455026455026454
176	ecoli_dream5	yeast_dream5	ecoli_regulondb#tc1	yeast_macisaac#tc1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc1	yeast_dream5#yeast_macisaac#tc1	ecoli	0.001984834671020508	0.9215258847724654	ecoli	yeast	0.0026455026455026454
177	ecoli_dream5	yeast_dream5	ecoli_regulondb#tc1	yeast_sisima#tc1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc1	yeast_dream5#yeast_sisima#tc1	ecoli	0.0022745132446289067	0.8113252623572041	ecoli	yeast	0.0026455026455026454
178	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#tc1	yeast_macisaac#tc1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc1	yeast_gpl2529#yeast_macisaac#tc1	ecoli	0.001984834671020508	0.9215258847724654	ecoli	yeast	0.0026455026455026454
179	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#tc1	yeast_sisima#tc1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc1	yeast_gpl2529#yeast_sisima#tc1	ecoli	0.0022745132446289067	0.8113252623572041	ecoli	yeast	0.0026455026455026454
182	ecoli_dream5	human_gtex	ecoli_regulondb#tc2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc2	human_gtex#regcircuit	ecoli	0.002490043640136719	0.3294571613192222	ecoli	regcircuit	0.0026455026455026454
183	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#tc2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc2	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.3294571613192222	ecoli	regcircuit	0.0026455026455026454
184	ecoli_dream5	human_tcga	ecoli_regulondb#tc2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc2	human_tcga#regcircuit	ecoli	0.002490043640136719	0.3294571613192222	ecoli	regcircuit	0.0026455026455026454
185	ecoli_dream5	yeast_dream5	ecoli_regulondb#tc2	yeast_macisaac#tc2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc2	yeast_dream5#yeast_macisaac#tc2	ecoli	0.0022745132446289067	0.4769373409963622	ecoli	yeast	0.0026455026455026454
186	ecoli_dream5	yeast_dream5	ecoli_regulondb#tc2	yeast_sisima#tc2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc2	yeast_dream5#yeast_sisima#tc2	ecoli	0.0022745132446289067	0.4769373409963622	ecoli	yeast	0.0026455026455026454
187	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#tc2	yeast_macisaac#tc2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc2	yeast_gpl2529#yeast_macisaac#tc2	ecoli	0.0022745132446289067	0.4769373409963622	ecoli	yeast	0.0026455026455026454
188	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#tc2	yeast_sisima#tc2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc2	yeast_gpl2529#yeast_sisima#tc2	ecoli	0.0022745132446289067	0.4769373409963622	ecoli	yeast	0.0026455026455026454
191	ecoli_dream5	human_gtex	ecoli_regulondb#tc3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc3	human_gtex#regcircuit	ecoli	0.002490043640136719	0.8142607441048311	ecoli	regcircuit	0.0026455026455026454
192	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#tc3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc3	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.8142607441048311	ecoli	regcircuit	0.0026455026455026454
193	ecoli_dream5	human_tcga	ecoli_regulondb#tc3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc3	human_tcga#regcircuit	ecoli	0.002490043640136719	0.8142607441048311	ecoli	regcircuit	0.0026455026455026454
194	ecoli_dream5	yeast_dream5	ecoli_regulondb#tc3	yeast_macisaac#tc3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc3	yeast_dream5#yeast_macisaac#tc3	ecoli	0.001984834671020508	0.9263404498764196	ecoli	yeast	0.0026455026455026454
195	ecoli_dream5	yeast_dream5	ecoli_regulondb#tc3	yeast_sisima#tc3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc3	yeast_dream5#yeast_sisima#tc3	ecoli	0.0022745132446289067	0.81544834002343	ecoli	yeast	0.0026455026455026454
196	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#tc3	yeast_macisaac#tc3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc3	yeast_gpl2529#yeast_macisaac#tc3	ecoli	0.001984834671020508	0.9263404498764196	ecoli	yeast	0.0026455026455026454
197	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#tc3	yeast_sisima#tc3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#tc3	yeast_gpl2529#yeast_sisima#tc3	ecoli	0.0022745132446289067	0.81544834002343	ecoli	yeast	0.0026455026455026454
198	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#ap1	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#ap1	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
199	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#ap2	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#ap2	human	0.002426624298095703	0.018247862062484712	regcircuit	ecoli	0.005050505050505051
200	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#ap3	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#ap3	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
201	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#mcl1	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#mcl1	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
202	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#mcl2	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#mcl2	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
203	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#mcl3	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#mcl3	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
204	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#minimal	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#minimal	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
205	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#strict	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#strict	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
206	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#tc1	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#tc1	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
207	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#tc2	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#tc2	human	0.002426624298095703	0.018247862062484712	regcircuit	ecoli	0.005050505050505051
208	human_gtex	ecoli_colombos	regcircuit	ecoli_regulondb#tc3	dummy		human_gtex#regcircuit	ecoli_colombos#ecoli_regulondb#tc3	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
209	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#ap1	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#ap1	human	0.002006053924560547	0.0498658760418735	regcircuit	ecoli	0.005050505050505051
210	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#ap2	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#ap2	human	0.002426624298095703	0.018247862062484712	regcircuit	ecoli	0.005050505050505051
211	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#ap3	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#ap3	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
212	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#mcl1	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#mcl1	human	0.002006053924560547	0.0498658760418735	regcircuit	ecoli	0.005050505050505051
213	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#mcl2	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#mcl2	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
214	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#mcl3	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#mcl3	human	0.002006053924560547	0.0498658760418735	regcircuit	ecoli	0.005050505050505051
215	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#minimal	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#minimal	human	0.002006053924560547	0.0498658760418735	regcircuit	ecoli	0.005050505050505051
216	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#strict	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#strict	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
217	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#tc1	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#tc1	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
218	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#tc2	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#tc2	human	0.002006053924560547	0.0498658760418735	regcircuit	ecoli	0.005050505050505051
219	human_gtex	ecoli_dream5	regcircuit	ecoli_regulondb#tc3	dummy		human_gtex#regcircuit	ecoli_dream5#ecoli_regulondb#tc3	human	0.0018444061279296875	0.014894436337398018	regcircuit	ecoli	0.005050505050505051
223	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#ap1	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#ap1	human	0.0021278858184814453	0.05800990994565546	regcircuit	yeast	0.005050505050505051
224	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#ap2	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#ap2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
225	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#ap3	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#ap3	human	0.0021278858184814453	0.05800990994565546	regcircuit	yeast	0.005050505050505051
226	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#mcl1	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#mcl1	human	0.002006053924560547	0.0498658760418735	regcircuit	yeast	0.005050505050505051
227	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#mcl2	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#mcl2	human	0.0018444061279296875	0.014894436337398018	regcircuit	yeast	0.005050505050505051
228	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#mcl3	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#mcl3	human	0.002006053924560547	0.0498658760418735	regcircuit	yeast	0.005050505050505051
229	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#minimal	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#minimal	human	0.0018444061279296875	0.014894436337398018	regcircuit	yeast	0.005050505050505051
230	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#strict	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#strict	human	0.0018444061279296875	0.014894436337398018	regcircuit	yeast	0.005050505050505051
231	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#tc1	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#tc1	human	0.002006053924560547	0.0498658760418735	regcircuit	yeast	0.005050505050505051
232	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#tc2	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#tc2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
233	human_gtex	yeast_dream5	regcircuit	yeast_macisaac#tc3	dummy		human_gtex#regcircuit	yeast_dream5#yeast_macisaac#tc3	human	0.002006053924560547	0.0498658760418735	regcircuit	yeast	0.005050505050505051
234	human_gtex	yeast_dream5	regcircuit	yeast_sisima#ap1	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#ap1	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
235	human_gtex	yeast_dream5	regcircuit	yeast_sisima#ap2	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#ap2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
236	human_gtex	yeast_dream5	regcircuit	yeast_sisima#ap3	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#ap3	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
237	human_gtex	yeast_dream5	regcircuit	yeast_sisima#mcl1	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#mcl1	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
238	human_gtex	yeast_dream5	regcircuit	yeast_sisima#mcl2	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#mcl2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
239	human_gtex	yeast_dream5	regcircuit	yeast_sisima#mcl3	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#mcl3	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
240	human_gtex	yeast_dream5	regcircuit	yeast_sisima#minimal	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#minimal	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
241	human_gtex	yeast_dream5	regcircuit	yeast_sisima#strict	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#strict	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
242	human_gtex	yeast_dream5	regcircuit	yeast_sisima#tc1	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#tc1	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
243	human_gtex	yeast_dream5	regcircuit	yeast_sisima#tc2	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#tc2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
244	human_gtex	yeast_dream5	regcircuit	yeast_sisima#tc3	dummy		human_gtex#regcircuit	yeast_dream5#yeast_sisima#tc3	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
245	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#ap1	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#ap1	human	0.0021278858184814453	0.05800990994565546	regcircuit	yeast	0.005050505050505051
246	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#ap2	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#ap2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
247	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#ap3	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#ap3	human	0.0018444061279296875	0.014894436337398018	regcircuit	yeast	0.005050505050505051
248	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#mcl1	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#mcl1	human	0.002006053924560547	0.0498658760418735	regcircuit	yeast	0.005050505050505051
249	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#mcl2	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#mcl2	human	0.0018444061279296875	0.014894436337398018	regcircuit	yeast	0.005050505050505051
250	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#mcl3	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#mcl3	human	0.002006053924560547	0.0498658760418735	regcircuit	yeast	0.005050505050505051
251	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#minimal	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#minimal	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
252	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#strict	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#strict	human	0.0018444061279296875	0.014894436337398018	regcircuit	yeast	0.005050505050505051
253	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#tc1	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#tc1	human	0.002006053924560547	0.0498658760418735	regcircuit	yeast	0.005050505050505051
254	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#tc2	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#tc2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
255	human_gtex	yeast_gpl2529	regcircuit	yeast_macisaac#tc3	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_macisaac#tc3	human	0.002006053924560547	0.0498658760418735	regcircuit	yeast	0.005050505050505051
256	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#ap1	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#ap1	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
257	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#ap2	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#ap2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
258	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#ap3	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#ap3	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
